Group Code,PT Code,PR Code,School Name,Address,District,State,Pin Code,Phone,Email,Website,"Action
",Remark,Academic Year,Strength,Board Type,Session Start From,Minority Type,Saturday Status,Working Status 
,,PR00001,"Army Public School, Fatehgarh","Sheesham Bagh, Cantt Area, Fatehgarh",Farukhabad,Uttar Pradesh,209601,X,"aspfategarh@gmail.com
apsspmarglko@gmail.com",https://apsfatehgarh.com,,,,,,,,,
,,PR00002,"Army Public School, Lucknow (SPM)","Under masjid topkhana bazar, Cantonment",Lucknow,Uttar Pradesh,226002,"522-2483017, 8795579555",apsspmarglko@gmail.com,https://apsspmlko.com,CBD,,,,,,,,
,,PR00003,"Army Public School No.1, Jabalpur",Cantt,Jabalpur,Madhya Pradesh,482001,"761-2678775, 761-2933235","aps2jabalpur@gmail.com
aps1jbp@gmail.com",https://www.aps1jabalpur.ac.in,Visit,,,1500+,CBSE,,,,
,,PR00004,"Army Public School, Gopalpur","Gopalpur Cantonment, Ganjam",Gopalpur,Odisha,761052,761052 0680-2343090,apsgopalpur@gmail.com,https://apsgopalpur.in,CBD,,,,,,,,
,,PR00005,"Army Public School, Danapur","Danapur Naubatpur Rd, Danapur Cantonment",Patna,Bihar,801503,8709341775,Apsdanapur@Awesindia.Edu.In,https://www.apsdanapur.com,CBD,,,,,,,,
,,PR00006,"Army Public School, Jammu Cantt","Chatha, Raipur Satwari",Jammu,Jammu & Kashmir,180003,"0191-2263164, 9086030003",contact@apsjammucantt.com,http://apsjammucantt.com,CBD,,,,,,,,
,,PR00007,"Army Public School, Dehradun (CT)","Army cant, Bharuwala Colony, Clement Town",Dehradun,Uttarakhand,248002,1352970278,apsclementtown@gmail.com,https://www.apsclementtown.org,CBD,,,1000,CBSE,,,,
GS0218,,PR00008,Mother's Pet Kindergarten School ,"Windsor, 801, 8th Floor,Off, Manipada Rd, Kalina,Santacruz East Mumbai ",Nagpur,Maharashtra,400098, 9391 655 555,careers@lighthouse-learning.com,https://motherspet.com/contact-us.html,Visit,,,7500,CBSE,,,,
,,PR00009,"Army Public School, Chandimandir","Sector D, Chandimandir Cantonment",Panchkula,Haryana,134107,7947110503,NA,http://www.apsdigicamp.com,CBD,,,,,,,,
,,PR00010,"Army Public School, Patiala","Sangrur Road, Tarapore Enclave",Patiala,Punjab,147001,"0175 -2200340 
8288010227",apspatiala@gmail.com,www.apspatiala.com,CBD,,,,CBSE,,,,
,,PR00011,"Army Public School, Samba","APS Road, Military Area",Jammu,Jammu & Kashmir,184121,"01923-243102
01923-2632",apssamba@gmail.com,http://apssamba.co.in,,,,,,,,,
,,PR00012,"Army Public School, Jalandhar","New S A Colony, Jalandhar Cantt",Jalandhar,Punjab,144005,"2561, 0181 - 2630776, 2630877
2562, 0181 - 2661855",apsjalandharcantt@gmail.com,https://www.apsjalandhar.com,CBD,,,3000,CBSE,,,,Yes
,,PR00013,"Army Public School, Kandrori","National Highway 1A, Nangal",Kandrori,Punjab,145101,"7719641176
0186-2268013",NA,https://apskandrori.org,CBD,,,,CBSE,,,,
,,PR00014,"Army Public School,Dhaula Kuan","Danapur Naubatpur Rd, Danapur Cantonment","Dhaula Kuan, South West",Delhi,110010,25693131,apsdk1953@gmail.com,https://www.apsdk.com,CBD,,,4000,CBSE,,,,
,,PR00015,"Army Public School, Secundrabad (RKP)","Near RK Puram Flyover R K Puram, Neredmet, Trimulgherry - ECIL Rd, Trimulgherry",Hyderabad,Telangana,500056,91-040-27794729,apsrkpuram@gmail.com,https://www.apsrkpuram.edu.in,CBD,,,,,,,,
,PT0016,PR00016,"Army Public School, Dighi","Alandi Road, VSNL Old Colony, Kalas",Pune,Maharashtra,411015,020 2999 0101,armyschooldighi@gmail.com,X,CBD,,2018-19,,CBSE,,,,
,,PR00017,"Army Public School, Secundrabad (BLRM)","Allenby Lines, Cavalry Barracks Defence Officer's Colony, Yapral",Hyderabad,Telangana,500087,"040 - 27940488, 040 - 29708554",apsbolarum@gmail.com,http://apsbolarum.edu.in,CBD,,,,,,,,
